student_id,gender,age,study_hours,attendance,previous_score,sleep_hours,internet_access,final_score
S440,Female,18,4.4,71.2,79.0,7.1,Yes,50.0
S441,Female,21,5.3,62.6,77.9,7.4,Yes,72.7
S442,Male,22,4.4,88.5,85.6,6.5,Yes,77.3
S443,Female,22,0.5,85.8,70.7,7.3,Yes,46.0
S444,Male,19,4.3,76.8,48.5,6.6,Yes,55.4
S445,Male,21,1.9,100.0,74.0,7.7,No,59.1
S446,Female,21,5.8,65.2,58.2,6.6,Yes,55.8
S447,Male,23,5.2,59.7,60.1,7.5,Yes,55.0
S448,Male,22,2.6,69.7,76.8,7.0,Yes,55.1
S449,Male,21,3.5,77.5,86.6,8.4,Yes,59.6
S450,Female,22,2.4,80.9,68.3,6.9,Yes,51.1
S451,Female,23,4.4,75.1,72.6,4.9,Yes,51.6
S452,Female,23,6.4,82.2,93.5,8.5,Yes,68.4
S453,Female,19,2.5,63.0,71.6,5.9,Yes,51.7
S454,Male,22,5.5,95.3,100.0,6.2,Yes,71.5
S455,Male,21,3.4,77.0,76.5,6.3,Yes,64.2
S456,Male,21,2.9,91.4,41.6,8.6,Yes,61.1
S457,Male,22,4.3,82.1,79.3,4.4,No,57.7
S458,Male,22,2.4,83.5,73.7,10.0,Yes,62.8
S459,Female,22,3.4,84.8,87.3,8.3,Yes,70.5
S460,Male,20,2.1,83.4,78.1,7.3,Yes,63.3
S461,Male,21,8.4,85.7,65.9,6.9,Yes,67.4
S462,Male,23,4.6,93.9,49.6,7.3,Yes,61.5
S463,Male,21,3.1,80.4,64.9,7.6,Yes,59.7
S464,Female,20,4.9,86.5,55.2,7.8,Yes,48.8
S465,Male,22,4.3,76.9,59.3,7.7,Yes,61.5
S466,Male,19,4.1,95.3,76.8,7.1,Yes,72.1
S467,Female,22,5.7,69.9,93.0,6.8,Yes,63.0
S468,Male,22,6.0,99.6,73.9,6.8,Yes,69.3
S469,Male,20,3.4,77.5,50.1,6.8,Yes,54.7
S470,Male,21,3.3,60.8,74.7,8.4,Yes,54.7
S471,Female,22,3.9,79.5,85.9,7.7,Yes,73.2
S472,Female,21,0.5,69.8,58.9,4.0,Yes,60.4
S473,Female,18,1.5,88.1,66.0,7.8,Yes,50.4
S474,Male,23,7.2,70.2,68.2,7.2,Yes,52.3
S475,Female,21,7.8,72.6,56.2,7.0,Yes,60.9
S476,Male,19,4.0,55.3,77.7,6.5,Yes,60.7
S477,Male,23,5.7,72.6,66.2,8.3,Yes,58.3
S478,Male,19,5.1,48.9,74.3,8.1,No,66.2
S479,Male,22,10.0,59.0,54.7,6.1,Yes,48.6
S480,Male,23,6.7,87.1,61.4,7.5,Yes,67.8
S481,Female,21,4.2,87.4,78.8,5.8,Yes,59.7
S482,Female,23,2.6,83.1,62.4,5.3,Yes,65.4
S483,Male,22,1.3,66.4,93.9,6.2,Yes,73.5
S484,Male,20,4.9,77.4,62.0,8.0,No,52.6
S485,Male,19,3.0,78.0,71.4,8.1,Yes,54.5
S486,Male,22,1.7,64.1,82.0,7.6,Yes,62.2
S487,Female,20,3.2,96.0,46.7,7.9,Yes,51.0
S488,Male,23,2.3,88.5,41.6,7.6,Yes,47.8
S489,Female,23,7.9,75.3,45.1,6.2,Yes,55.0
S490,Male,22,6.3,78.3,86.9,7.5,Yes,56.2
S491,Male,21,4.5,80.5,59.7,8.0,Yes,57.0
S492,Male,23,7.5,53.5,100.0,7.9,Yes,66.0
S493,Male,21,4.7,75.0,59.5,8.4,Yes,52.9
S494,Male,21,2.8,69.8,70.8,7.8,Yes,65.6
S495,Female,21,7.5,66.0,91.1,7.4,Yes,61.5
S496,Male,18,5.6,74.6,98.1,8.3,Yes,78.1
S497,Female,20,2.4,99.6,98.9,7.0,Yes,70.4
S498,Male,20,4.1,85.7,86.1,5.9,Yes,64.2
S499,Male,23,2.7,71.1,83.4,6.8,Yes,65.3
S500,Male,23,1.7,84.9,76.9,6.1,Yes,60.8
